,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
13,frozenset({'Hamburguesitas de Carne'}),frozenset({'Sandwich de Jamón y Queso'}),0.36200716845878134,0.3143881208397337,0.20020481310803892,0.5530410183875532,1.7591027832424941,0.08639405968576973,1.5339480967288242
14,frozenset({'Sandwich de Peceto'}),frozenset({'Hamburguesitas de Carne'}),0.3466461853558628,0.36200716845878134,0.2119815668202765,0.6115214180206795,1.6892522339383127,0.08649316280256275,1.6422857298608557
15,frozenset({'Hamburguesitas de Carne'}),frozenset({'Sandwich de Peceto'}),0.36200716845878134,0.3466461853558628,0.2119815668202765,0.5855728429985856,1.6892522339383127,0.08649316280256275,1.5765226858477988
16,frozenset({'Miga de Jamón y Queso'}),frozenset({'Pizzetas Clasicas'}),0.2636968766001024,0.39477726574500765,0.2012288786482335,0.763106796116505,1.9330059310188514,0.09712734671854639,2.5548336732895183
17,frozenset({'Pizzetas Clasicas'}),frozenset({'Miga de Jamón y Queso'}),0.39477726574500765,0.2636968766001024,0.2012288786482335,0.509727626459144,1.9330059310188512,0.09712734671854639,1.5018246247124898
18,frozenset({'Pizzetas Clasicas'}),frozenset({'Sandwich de Jamón y Queso'}),0.39477726574500765,0.3143881208397337,0.22785458269329237,0.5771725032425422,1.8358597700858061,0.10374129996547123,1.621493125253268
19,frozenset({'Sandwich de Jamón y Queso'}),frozenset({'Pizzetas Clasicas'}),0.3143881208397337,0.39477726574500765,0.22785458269329237,0.7247557003257329,1.835859770085806,0.10374129996547123,2.1988565611394395
20,frozenset({'Sandwich de Peceto'}),frozenset({'Pizzetas Clasicas'}),0.3466461853558628,0.39477726574500765,0.22939068100358423,0.6617429837518464,1.6762439004764669,0.09254264776785961,1.7892392624044968
21,frozenset({'Pizzetas Clasicas'}),frozenset({'Sandwich de Peceto'}),0.39477726574500765,0.3466461853558628,0.22939068100358423,0.5810635538261998,1.676243900476467,0.09254264776785961,1.5595535327883276
22,frozenset({'Sandwich de Peceto'}),frozenset({'Sandwich de Jamón y Queso'}),0.3466461853558628,0.3143881208397337,0.20583717357910905,0.5937961595273265,1.8887359927636298,0.09685573076881733,1.6878517897872738
23,frozenset({'Sandwich de Jamón y Queso'}),frozenset({'Sandwich de Peceto'}),0.3143881208397337,0.3466461853558628,0.20583717357910905,0.6547231270358306,1.8887359927636294,0.09685573076881733,1.892260576375001
24,frozenset({'Sandwich de Pollo'}),frozenset({'Sandwich de Peceto'}),0.23707117255504354,0.3466461853558628,0.15719406041986686,0.6630669546436284,1.9128061483294037,0.07501424279581952,1.9391206165399708
25,"frozenset({'Pizzetas Clasicas', 'Sandwich de Jamón y Queso'})",frozenset({'Hamburguesitas de Carne'}),0.22785458269329237,0.36200716845878134,0.16180235535074244,0.7101123595505618,1.9615975080654136,0.07931736304958643,2.2008279847739716
26,"frozenset({'Hamburguesitas de Carne', 'Sandwich de Jamón y Queso'})",frozenset({'Pizzetas Clasicas'}),0.20020481310803892,0.39477726574500765,0.16180235535074244,0.8081841432225063,2.04719018380487,0.08276604664296057,3.1552278545826917
27,"frozenset({'Pizzetas Clasicas', 'Hamburguesitas de Carne'})",frozenset({'Sandwich de Jamón y Queso'}),0.2524321556579621,0.3143881208397337,0.16180235535074244,0.6409736308316429,2.038797232922148,0.08244068429391258,1.9096421267006285
28,frozenset({'Sandwich de Jamón y Queso'}),"frozenset({'Pizzetas Clasicas', 'Hamburguesitas de Carne'})",0.3143881208397337,0.2524321556579621,0.16180235535074244,0.5146579804560261,2.038797232922148,0.08244068429391258,1.540290793375877
29,"frozenset({'Sandwich de Peceto', 'Pizzetas Clasicas'})",frozenset({'Sandwich de Jamón y Queso'}),0.22939068100358423,0.3143881208397337,0.15207373271889402,0.6629464285714286,2.108687907166124,0.07995602758003037,2.034133257376155
30,"frozenset({'Sandwich de Peceto', 'Sandwich de Jamón y Queso'})",frozenset({'Pizzetas Clasicas'}),0.20583717357910905,0.39477726574500765,0.15207373271889402,0.7388059701492539,1.871450142284686,0.07081389614465282,2.317138468290543
31,"frozenset({'Pizzetas Clasicas', 'Sandwich de Jamón y Queso'})",frozenset({'Sandwich de Peceto'}),0.22785458269329237,0.3466461853558628,0.15207373271889402,0.6674157303370787,1.9253514347833303,0.07308881081241222,1.9644759967340615
